version_event,source_id,quote_id,license_event,doi_event,crc_event,version_position,position_description,name_position,location_type,latitude,longitude,geometry,elevation,geonames_id,version_period,calendar,begin_year,begin_month_id,begin_month,begin_day_id,begin_day,begin_hour_id,begin_hour,begin_timestamp,end_year,end_month_id,end_month,end_day_id,end_day,end_hour_id,end_hour,end_timestamp,version_coding,codeset_id,codeset_description,category,path,node_id,node_label,scale_id,scale_label,value_id,value_label,value_index,average,variance,si_unit,si_average,si_variance
0,7374,118647,cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,b3c3dfd06b3447a4a038d9559c133812,0,,Baghdad,location,33.3386,44.3896,"{""type"":""Point"",""coordinates"":[44.3896,33.3386]}",41,98182,0,gregorian,944,10,october,4,4,31,night,"0944-10-03 20:00:00",944,10,october,5,5,31,night,"0944-10-05 05:59:59",0,277308,"totale Mondfinsternis",environment,environment/astronomy,316,"lunar eclipse",,,,,,,,,,
0,7374,122295,cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,0db61702aae504459741601094f6e184,0,,"Bilad ash-Sham",region,35,37,"{""type"":""Point"",""coordinates"":[37,35]}",,,0,gregorian,1799,6,june,5,5,0,,"1799-06-05 00:00:00",1800,5,may,24,24,0,,"1800-05-24 23:59:59",0,281909,"große Heuschreckenschwärme↵Anzahl war so ungeheuer groß, daß sich der Himmel verdunkelte",biology,biology/animals,800,insects,,,,,,,,,,
0,7374,122295,cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,0db61702aae504459741601094f6e184,0,,"Bilad ash-Sham",region,35,37,"{""type"":""Point"",""coordinates"":[37,35]}",,,0,gregorian,1799,6,june,5,5,0,,"1799-06-05 00:00:00",1800,5,may,24,24,0,,"1800-05-24 23:59:59",0,281909,"große Heuschreckenschwärme↵Anzahl war so ungeheuer groß, daß sich der Himmel verdunkelte",phenology,"phenology/animal phenology",826,"sighting of animals",,,,,,,,,,
0,7374,122295,cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,0db61702aae504459741601094f6e184,0,,"Bilad ash-Sham",region,35,37,"{""type"":""Point"",""coordinates"":[37,35]}",,,0,gregorian,1799,6,june,5,5,0,,"1799-06-05 00:00:00",1800,5,may,24,24,0,,"1800-05-24 23:59:59",0,281909,"große Heuschreckenschwärme↵Anzahl war so ungeheuer groß, daß sich der Himmel verdunkelte",phenology,"phenology/number of animals",824,"quantity of animals",67,"absolute quantity",152,"very high number ",2,,,n[],,
0,7599,126295,cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,7c92658aaf55d2cb132ac6b0564d0e41,0,,Damaskus,location,33.5114,36.3066,"{""type"":""Point"",""coordinates"":[36.3066,33.5114]}",701,170654,0,gregorian,1295,12,december,16,16,0,,"1295-12-16 00:00:00",1295,12,december,16,16,0,,"1295-12-16 23:59:59",0,282927,"Erster Regen",climate,"climate/precipitation/precipitation type",117,rain,,,,,,,,,,
0,7374,121845,cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,717cf2b9737483f1c7b1320c6e6dba91,0,,Aleppo,location,36.1991,37.1569,"{""type"":""Point"",""coordinates"":[37.1569,36.1991]}",401,170063,0,gregorian,1752,4,april,22,22,0,,"1752-04-22 00:00:00",1752,4,april,22,22,0,,"1752-04-22 23:59:59",0,303254,"28,4",climate,"climate/air pressure",368,"air pressure value",101,"inch Hg",,,,28.4,0.1,p[Pa],96173.057321174,338.63752577878
0,7374,118814,cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,71de16e93824214221122f8eeada0b45,0,,Mosul,location,36.342946016117,43.126802444458,,,,0,gregorian,1048,6,june,16,16,0,,"1048-06-16 00:00:00",1049,6,june,4,4,0,,"1049-06-04 23:59:59",0,277578,Teuerung,economy,economy/market/price,518,"price level",10,"price level",57,"high price",1,,,,,
0,7374,118532,cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,5d88366ada68af6be6411af3cd02deb9,0,,Mekka,location,21.422442447353,39.826187347221,,333,104515,0,gregorian,867,1,january,11,11,0,,"0867-01-11 00:00:00",867,12,december,31,31,0,,"0867-12-31 23:59:59",0,303238,Überschwemmung,hydrology,"hydrology/water level/flood",356,"flood intensity",11,"flood intensity",61,"flood above average",2,,,,,
0,7374,118532,cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,5d88366ada68af6be6411af3cd02deb9,0,,Mekka,location,21.422442447353,39.826187347221,,333,104515,0,gregorian,867,1,january,11,11,0,,"0867-01-11 00:00:00",867,12,december,31,31,0,,"0867-12-31 23:59:59",0,303238,Überschwemmung,hydrology,"hydrology/water level/flood",520,"flood extent",70,"flood extent",121,regional,1,,,,,
0,7374,118499,cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,120431974ea3a18859e81dd3abbdc05a,0,,Mekka,location,21.422442447353,39.826187347221,,333,104515,0,gregorian,824,2,february,6,6,0,,"0824-02-06 00:00:00",824,3,march,5,5,0,,"0824-03-05 23:59:59",0,303237,Überschwmmung,hydrology,"hydrology/water level/flood",356,"flood intensity",11,"flood intensity",61,"flood above average",2,,,,,
